CODIGO;NOME;PALETE;LASTRO;CAIXA
31962;FUSION MELANCIA PET 2L SHRINK C/6 (FUSION P2 MELANCIA);100;20;6
32425;FUSION MELANCIA LT 473ML SH C/12 NPAL (FUSION MELANC 473);220;22;12
32427;FUSION TROPICAL LT 473ML SH C/12 NPAL (FUSION TROPICAL 473);220;22;12
13486;FUSION PET 1L SH C/06 (FUSION 1L C/6);150;30;6
7977;GATORADE UVA PET 500ML SIXPACK (GAT UVA 500);294;42;6
7979;GATORADE FRUTAS CITRICAS PET 500ML SIXPACK (GAT FC 500);294;42;6
7980;GATORADE TANGERINA PET 500ML SIXPACK (GAT TANG 500);294;42;6
7981;GATORADE LARANJA PET 500ML SIXPACK (GAT LAR 500);294;42;6
7982;GATORADE LIMAO PET 500ML SIXPACK (GAT LIM 500);294;42;6
29493;GATORADE ZERO CAL LAR LIMA PET 350ML SH C12 (GAT ZCAL LAR LIMA 350);224;28;12
29495;GATORADE ZERO CAL FRUTAS SILV PET 350ML SH C12 (GAT ZCAL FRUT SILV 350);224;28;12
32067;GATORADE BERRY BLUE PET 500ML SIXPACK (GAT BERRY BLUE);294;42;6
7983;GATORADE MORANGO-MARACUJA PET 500ML SIXPACK (GAT MO-MA 500);294;42;6
9084;GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL (GCA 350);286;22;12
9085;GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL (GCAD 350);286;22;12
9089;SUKITA LATA 350ML SH C/12 NPAL (SUK 350);286;22;12
1164;SUKITA UVA LATA 350ML SH C/12 NPAL (SUK UVA 350);286;22;12
9091;TONICA ANTARCTICA LATA 350ML SH C/12 NPAL (TON 350);286;22;12
9092;TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL (TON ZERO 350);286;22;12
9087;SODA LIMONADA ANTARCTICA LATA 350ML SH C/12 NPAL (SODA 350);286;22;12
9274;PEPSI ZERO LATA 350ML SH C/12 NPAL (PC ZERO 350);286;22;12
9093;PEPSI TWIST LATA 350ML SH C/12 NPAL (PC TW 350);286;22;12
9096;PEPSI COLA LATA 350ML SH C/12 NPAL (PC 350);286;22;12
11593;PEPSI COLA GFA VD 1L (PEPSI 1L RET);50;10;12
2132;GUARANA CHP ANTARCTICA PET 1L CAIXA C/6 NOVA RIO (GCA PET 1L);175;25;6
11556;GUARANA ANTARCTICA ZERO PET 1L CAIXA C/6 (GCAD PET 1L);175;25;6
7703;PEPSI COLA PET 1L CAIXA C/6 (PEPSI PET 1L);175;25;6
22200;TONICA ANTARCTICA PET 1 L SH C/06 (TON 1L);150;30;6
22202;TONICA ANTARCTICA ZERO PET 1L SH C/06 (TON ZERO 1L);150;30;6
253;SUKITA PET 1L CAIXA C/6 (SUK PET 1L);175;25;6
8411;GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6 (GCA 1,5);115;23;6
8418;PEPSI COLA PET 1500 CX06 (PEPSI 1,5);115;23;6
8413;GUARANA CHP ANTARCTICA DIET PET 1,5 SHRINK C/6 (GCA ZERO 1,5);115;23;6
28512;PEPSI BLACK PET 1,5 SHRINK C/6 (PEPSI BLACK 1,5);115;23;6
8793;H2OH LIMAO C/GAS PET 1,5L CAIXA C/6 (H2OH LIM 1,5);115;23;6
11103;H2OH CITRUS C/GAS PET 1,5 SHRINK C/06 NPAL (H2OH CIT 1,5);115;23;6
13065;H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL (H2OH LIMONETO 1,5);115;23;6
232;TEEM PET 2L CAIXA C/8 (TEEM 2L);75;15;8
856;SUKITA PET 2L CAIXA C/8 (SUK 2L);75;15;8
930;PEPSI COLA PET 2L CAIXA C/8 (PC 2L);75;15;8
1232;SUKITA UVA PET 2L CAIXA C/8 (SUK UVA 2L);75;15;8
22619;SUKITA LIMAO PET 2L CAIXA C/8 (SUK LIM 2L);75;15;8
26699;GUARANA CHP ANTARCTICA PET 2,25L SH C/6 250ML GRATIS (GUA P2 250 GRATIS);64;16;6
2937;GUARANA CHP ANTARCTICA PET 2L SHRINK C/8 (GCA 2L);75;15;8
2938;GUARANA CHP ANTARCTICA DIET PET 2L SHRINK C/8 (GCAD 2L);75;15;8
2940;SODA LIMONADA ANTARCTICA PET 2L SHRINK C/8 (SODA 2L);75;15;8
5029;PEPSI TWIST PET 2L SHRINK C/8 (PC TW 2L);75;15;8
5753;PEPSI COLA PET 2,25L CAIXA C/6 (PC 2,250 ml);64;16;6
9277;PEPSI ZERO PET 2L SHRINK C/8 (PC BLACK P2);75;15;8
7945;PEPSI COLA PET 2,5L CAIXA C/6 (PC 2,5);64;16;6
7947;GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6 (GCA 2,5);64;16;6
18152;GUARANA CHP ANTARCTICA PET 200ML SH C/12 (GCA 200);400;40;12
21887;ORLOFF DRY GARRAFA VIDRO 1 L (ORL DRY);576;0;1
22641;PRESIDENTE CONHAQ GARRAFA VIDRO 900ML (CONH PRESID 900ML);720;0;1
21527;TANQUERAY GIN LONDON DRY GARRAFA VIDRO 750ML (TANQUERAY GIN LONDON);180;0;1
22561;JAMESON STD GARRAFA VIDRO 750ML (TANQ GIN LON DRY 750);576;0;1
21778;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 750ML (JW RED 750);720;0;1
29518;JOHNNIE WALKER WHISKY BLONDE GFA VD 750 ML (JW BLONDE 750);720;0;1
21526;JOHNNIE WALKER RED LABEL GARRAFA VIDRO 1 L (JW REDLABEL 1L);576;0;1
33590;JOHNNIE WALKER BLONDE GARRAFA PLAST 50ML PC C12 (JW 50ml PET c/12);100;1;12
21792;WHITE HORSE GARRAFA VIDRO 1 L (WHorse 1L);528;0;1
26994;SMIRNOFF ORIGINAL GFA VDR 600ML (SMIR VODKA 600);900;0;1
32854;SMIRNOFF ICE LT 269 ML CX C/24 (SMIR ICE VODKA lata);130;13;24
21781;SMIRNOFF ICE GARRAFA VD 275ML CX C24 (SMIR ICE 275 CX24);78;13;24
32356;SMIRNOFF ICE GARRAFA VD 275ML CX C6 (SMIR ICE 275 CX6);78;13;24
27825;DOMUS CONHAQUE GARRAFA VIDRO 900ML (Domus 900);720;0;1
28241;CACHACA 51 MEL GFA VD 740ML (51 MEL740ML);600;0;1
30022;51 ICE FRUIT MIX MORANGO + LARANJA GARRAFA VD 275ML CX C6 (ICE 51 FR MIX);512;13;6
30023;51 ICE LIMAO GARRAFA VD 275ML CX C6 (ICE 51 LIM);512;16;6
30029;51 ICE BALADA GARRAFA VD 275ML CX C6 (ICE 51 BALADA);512;16;6
